Id,Nama,Alamat,Longitude,Latitude,Tipe
1,Klinik Panti Rahayu,"Jl. Simp. Borobudur No.1, Malang",112.638405,-7.946004,Klinik
2,Klinik Malang Eye Centre,"Jl. Dr. Cipto No. 3, Malang",112.644441,-7.983647,Klinik
3,Klinik Rawat Inap Muhammadiyah Malang,"Jl. A. Yani No.165, Purwodadi, Kec. Blimbing, Kota Malang",112.608888,-7.952633,Klinik
4,Klinik Keluarga Sejahtera,"Jl. Pattimura No. 14A, Malang",112.63387,-7.97297,Klinik
5,Klinik Adi Bungsu,"Jl. Ki Ageng Gribig No. 1, Malang",112.65877,-7.983254,Klinik
6,Klinik Nayaka Husada 01,Jl. A. Yani No.20 F,112.639936,-7.943331,Klinik
7,Klinik Widya Husada,Jl. Sudimoro No. 16,112.630138,-7.938224,Klinik
8,Klinik Higina Medical Centre,Jl. Ronggowarsito No. 23,112.634062,-7.97625,Klinik
9,Klinik Panglima Sudirman,Jl. R. Tumenggung Suryo No.22,112.637042,-7.965925,Klinik
10,Klinik Karya Nusantara Medika,Jl. Maninjau Raya No. 33,112.654188,-7.976901,Klinik
11,Klinik Sabilillah Medical Service,Jl. Candi Kidal No.6,112.638741,-7.941617,Klinik
12,Klinik Telemedika Health Centre,Jl. Raya Danau Sentani Blok 4,112.660759,-7.979566,Klinik
13,Klinik RN. Klayatan,Jl. Klayatan III No. 2,112.611054,-8.00409,Klinik
14,Klinik Bhayangkara Polres Kota Malang,Jl. Pahlawan Trip No. 1,112.620476,-7.9687,Klinik
15,Klinik Wira Husada,Jl. S. Supriadi No. 23,112.586377,-7.990568,Klinik
16,Klinik Bahrul Maghfiroh Cinta Indonesia,Jl. Batu Permata No.1,112.601001,-7.933755,Klinik
17,Klinik Rampal Denkesyah,Jl. Panglima Sudirman D 9A,112.63644,-7.97591,Klinik
18,Klinik Hamid Rusdi,Jl. Hamid Rusdi No.45,112.639247,-7.967903,Klinik
19,Klinik Universitas Brawijaya,"Jl. MT. Haryono, Ketawanggede, Kec. Lowokwaru, Kota Malang",112.613703,-7.950498,Klinik
20,Klinik Delta,Jl. Raya Kepuh No. 47,112.618063,-8.012545,Klinik
21,Klinik Kimia Farma Bromo,Jl. Bromo No.1,112.62291,-7.978864,Klinik
